facility_name,un_locode,CGA_id,my_id,national_program,national_program_iso,lat_dd,lon_dd,altitude_m,longest_runway,landing_gear,first_opened,facilty_type,current_status,winter_population,peak_population,CGA_name_other
Cap Prud'homme,,,44,France,FRA,-66.68760751,139.9071699,10,,,,Camp,Seasonal,,20,
Dumont d'Urville,AQ-DDU,3947,45,France,FRA,-66.66283333,140.0013333,42,,,1956,Station,Year-round,26,100,Base Dumont-d'Urville (FRA); Dumont d'Urville Station (USA)
Concordia,AQ-CON,18350,46,France & Italy,FRA/ITA,-75.0999745,123.3326053,3220,1500 m,Ski,1997,Station,Year-round,13,60,Concordia Station (USA)
Dallman Lab at Base Carlini,,,47,Germany,DEU,-62.23760854,-58.66671638,3,,,1994,Station,Seasonal,,12,
Antarctic Receiving Station (GARS),,,48,Germany,DEU,-63.32109182,-57.90094008,2,,,,Station,Seasonal,,,
Gondwana,,,49,Germany,DEU,-74.63550051,164.2212145,3,,,1983,Station,Seasonal,,,
Kohnen,AQ-KHN,18359,50,Germany,DEU,-75.00191485,0.066733305,2900,900 m,Ski,2001,Station,Seasonal,,28,Kohnen Station (USA)
Neumayer III,AQ-NEU,5250,51,Germany,DEU,-70.67725032,-8.271599716,40,1000 m,Ski,1981,Station,Year-round,9,50,Neumayer Station (NOR) (USA)
Bharati,,,52,India,IND,-69.4,76.183,7,,,2012,Station,Year-round,15,,
Dakshin Gangotri,,16553,53,India,IND,-70.08333333,12,35,,,1983,Station,Seasonal,,,Dakshin Gangotri (IND) 
Maitri,AQ-MTR,16560,54,India,IND,-70.76683367,11.73078318,130,,,1989,Station,Year-round,25,65,Maitri (IND); Maitri Station (USA)
Browning Pass,,18348,55,Italy,ITA,-74.62290575,163.9151708,170,915 m,Ski,1997,Camp,Seasonal,,2,Browning Pass Station (USA)
Enigma Lake,,18355,56,Italy,ITA,-74.719164,164.027711,170,730 m,Ski,2005,Camp,Seasonal,,,Enigma Lake Station (USA)
Mid Point,,18364,57,Italy,ITA,-75.54170266,145.8203993,2520,1200 m,Ski,1998,Camp,Seasonal,,,Mid Point Station (USA)
Sitry,,17190,58,Italy,ITA,-71.65173817,148.654737,1600,1000 m,Ski,2000,Camp,Seasonal,,,Sitry Point (ITA); Sitry Station (USA)
Mario Zucchelli,AQ-MZU,17177,59,Italy,ITA,-74.69480668,164.1132678,15,3000 m,Ski & Wheel,1986,Station,Seasonal,,90,Stazione Mario Zucchelli (ITA); Mario Zucchelli Station (USA)
S17,,,60,Japan,JPN,-69.02807608,40.09244947,620,1200 m,Ski,2005,Camp,Seasonal,,,
Asuka,,598,61,Japan,JPN,-71.52627263,24.11251621,896,,,1984,Station,Seasonal,,,Asuka Camp (NOR)
Dome Fuji,AQ-DMF,18353,62,Japan,JPN,-77.31707524,39.69877019,3810,variable,Ski,1995,Station,Seasonal,,15,Dome Fuji Station (USA)
Mizuho,,9692,63,Japan,JPN,-70.6990456,44.27781168,2333,,,1970,Station,Seasonal,,,Mizuho Station (NOR)
